Name,HighValue,Description,AdminCount
DOMAIN ADMINS@HTB.LOCAL,True,Designated administrators of the domain,True
ADMINISTRATORS@HTB.LOCAL,True,Administrators have complete and unrestricted access to the computer/domain,True
ENTERPRISE ADMINS@HTB.LOCAL,True,Designated administrators of the enterprise,True
RAS AND IAS SERVERS@HTB.LOCAL,False,Servers in this group can access remote access properties of users,False
SCHEMA ADMINS@HTB.LOCAL,False,Designated administrators of the schema,True
READ-ONLY DOMAIN CONTROLLERS@HTB.LOCAL,False,Members of this group are Read-Only Domain Controllers in the domain,True
PROTECTED USERS@HTB.LOCAL,False,Members of this group are afforded additional protections against authentication security threats. See http://go.microsoft.com/fwlink/?LinkId=298939 for more information.,False
KEY ADMINS@HTB.LOCAL,False,Members of this group can perform administrative actions on key objects within the domain.,False
GROUP POLICY CREATOR OWNERS@HTB.LOCAL,True,Members in this group can modify group policy for the domain,False
ENTERPRISE READ-ONLY DOMAIN CONTROLLERS@HTB.LOCAL,False,Members of this group are Read-Only Domain Controllers in the enterprise,False
ENTERPRISE KEY ADMINS@HTB.LOCAL,False,Members of this group can perform administrative actions on key objects within the forest.,False
DOMAIN USERS@HTB.LOCAL,False,All domain users,False
DOMAIN GUESTS@HTB.LOCAL,False,All domain guests,False
DOMAIN CONTROLLERS@HTB.LOCAL,True,All domain controllers in the domain,True
DOMAIN COMPUTERS@HTB.LOCAL,False,All workstations and servers joined to the domain,False
DNSUPDATEPROXY@HTB.LOCAL,False,DNS clients who are permitted to perform dynamic updates on behalf of some other clients (such as DHCP servers).,False
DNSADMINS@HTB.LOCAL,False,DNS Administrators Group,False
DENIED RODC PASSWORD REPLICATION GROUP@HTB.LOCAL,False,Members in this group cannot have their passwords replicated to any read-only domain controllers in the domain,False
CLONEABLE DOMAIN CONTROLLERS@HTB.LOCAL,False,Members of this group that are domain controllers may be cloned.,False
CERT PUBLISHERS@HTB.LOCAL,False,Members of this group are permitted to publish certificates to the directory,False
ALLOWED RODC PASSWORD REPLICATION GROUP@HTB.LOCAL,False,Members in this group can have their passwords replicated to all read-only domain controllers in the domain,False
ENTERPRISE DOMAIN CONTROLLERS@HTB.LOCAL,False,,
ACCOUNT OPERATORS@HTB.LOCAL,True,Members can administer domain user and group accounts,True
TERMINAL SERVER LICENSE SERVERS@HTB.LOCAL,False,"Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage",False
INCOMING FOREST TRUST BUILDERS@HTB.LOCAL,False,"Members of this group can create incoming, one-way trusts to this forest",False
WINDOWS AUTHORIZATION ACCESS GROUP@HTB.LOCAL,False,Members of this group have access to the computed tokenGroupsGlobalAndUniversal attribute on User objects,False
PRE-WINDOWS 2000 COMPATIBLE ACCESS@HTB.LOCAL,False,A backward compatibility group which allows read access on all users and groups in the domain,False
SERVER OPERATORS@HTB.LOCAL,True,Members can administer domain servers,True
EVERYONE@HTB.LOCAL,False,,
AUTHENTICATED USERS@HTB.LOCAL,False,,
INTERACTIVE@HTB.LOCAL,False,,
SYSTEM MANAGED ACCOUNTS GROUP@HTB.LOCAL,False,Members of this group are managed by the system.,False
